周次,solution名称,solution路径,date,hostName,pagePath,eventName,eventCount,keyEvents
2026-07-20,智能仓储管理,/solutions/smart-warehouse-management,20260723,www.seeedstudio.com,/solutions/smart-warehouse-management,page_view,4,0
2026-07-20,智能仓储管理,/solutions/smart-warehouse-management,20260723,www.seeedstudio.com,/solutions/smart-warehouse-management,scroll,2,0
2026-07-20,智能仓储管理,/solutions/smart-warehouse-management,20260724,www.seeedstudio.com,/solutions/smart-warehouse-management,page_view,2,0
2026-07-20,智能仓储管理,/solutions/smart-warehouse-management,20260723,www.seeedstudio.com,/solutions/smart-warehouse-management,session_start,1,0
2026-07-20,智能仓储管理,/solutions/smart-warehouse-management,20260723,www.seeedstudio.com,/solutions/smart-warehouse-management,user_engagement,1,0
2026-07-20,智能仓储管理,/solutions/smart-warehouse-management,20260724,www.seeedstudio.com,/solutions/smart-warehouse-management,scroll,1,0
2026-07-20,智能视频分析,/solutions/intelligent-video-analytics,20260723,www.seeedstudio.com,/solutions/intelligent-video-analytics,page_view,6,0
2026-07-20,智能视频分析,/solutions/intelligent-video-analytics,20260720,www.seeedstudio.com,/solutions/intelligent-video-analytics,page_view,4,0
2026-07-20,智能视频分析,/solutions/intelligent-video-analytics,20260721,www.seeedstudio.com,/solutions/intelligent-video-analytics,page_view,4,0
2026-07-20,智能视频分析,/solutions/intelligent-video-analytics,20260722,www.seeedstudio.com,/solutions/intelligent-video-analytics,page_view,3,0
2026-07-20,智能视频分析,/solutions/intelligent-video-analytics,20260720,www.seeedstudio.com,/solutions/intelligent-video-analytics,scroll,2,0
2026-07-20,智能视频分析,/solutions/intelligent-video-analytics,20260721,www.seeedstudio.com,/solutions/intelligent-video-analytics,first_visit,2,0
2026-07-20,智能视频分析,/solutions/intelligent-video-analytics,20260721,www.seeedstudio.com,/solutions/intelligent-video-analytics,session_start,2,0
2026-07-20,智能视频分析,/solutions/intelligent-video-analytics,20260723,www.seeedstudio.com,/solutions/intelligent-video-analytics,scroll,2,0
2026-07-20,智能视频分析,/solutions/intelligent-video-analytics,20260723,www.seeedstudio.com,/solutions/intelligent-video-analytics,user_engagement,2,0
2026-07-20,智能视频分析,/solutions/intelligent-video-analytics,20260726,www.seeedstudio.com,/solutions/intelligent-video-analytics,page_view,2,0
2026-07-20,智能视频分析,/solutions/intelligent-video-analytics,20260720,www.seeedstudio.com,/solutions/intelligent-video-analytics,first_visit,1,0
2026-07-20,智能视频分析,/solutions/intelligent-video-analytics,20260720,www.seeedstudio.com,/solutions/intelligent-video-analytics,session_start,1,0
2026-07-20,智能视频分析,/solutions/intelligent-video-analytics,20260720,www.seeedstudio.com,/solutions/intelligent-video-analytics,user_engagement,1,0
2026-07-20,智能视频分析,/solutions/intelligent-video-analytics,20260722,www.seeedstudio.com,/solutions/intelligent-video-analytics,first_visit,1,0
2026-07-20,智能视频分析,/solutions/intelligent-video-analytics,20260722,www.seeedstudio.com,/solutions/intelligent-video-analytics,scroll,1,0
2026-07-20,智能视频分析,/solutions/intelligent-video-analytics,20260722,www.seeedstudio.com,/solutions/intelligent-video-analytics,session_start,1,0
2026-07-20,智能视频分析,/solutions/intelligent-video-analytics,20260722,www.seeedstudio.com,/solutions/intelligent-video-analytics,user_engagement,1,0
2026-07-20,智能视频分析,/solutions/intelligent-video-analytics,20260723,www.seeedstudio.com,/solutions/intelligent-video-analytics,session_start,1,0
2026-07-20,智能视频分析,/solutions/intelligent-video-analytics,20260724,www.seeedstudio.com,/solutions/intelligent-video-analytics,user_engagement,1,0
2026-07-20,智能视频分析,/solutions/intelligent-video-analytics,20260726,www.seeedstudio.com,/solutions/intelligent-video-analytics,first_visit,1,0
2026-07-20,智能视频分析,/solutions/intelligent-video-analytics,20260726,www.seeedstudio.com,/solutions/intelligent-video-analytics,session_start,1,0
